name,sku,pack_size,mrp,selling_price,sound_level,stock,category,description
"18"" Pencil","VAV-025","10 Pcs",900.00,90.00,,,"TWINKLING STARS & PENCILS","18"" பென்சில்"
"Rocket Bomb/Colour Rocket","VAV-026","10 Pcs",700.00,70.00,,,"ROCKETS","ராக்கெட் பாம் / கலர் ராக்கெட்"
"Whistling Rocket","VAV-027","10 Pcs",1800.00,180.00,,,"ROCKETS","விசிலிங் ராக்கெட்"
"Lunik Rocket","VAV-028","10 Pcs",1400.00,140.00,,,"ROCKETS","லூனிக் ராக்கெட்"
"2 Sound Rocket","VAV-029","10 Pcs",1600.00,160.00,,,"ROCKETS","2 சவுண்டு ராக்கெட்"
"3 Sound Rocket","VAV-030","10 Pcs",1800.00,180.00,,,"ROCKETS","3 சவுண்டு ராக்கெட்"
"Bullet Bomb/Super Bullet","VAV-031","10 Pcs",300.00,30.00,,,"BOMBS","புல்லட் பாம்"
"Hydro Bomb","VAV-032","10 Pcs",700.00,70.00,,,"BOMBS","ஹைட்ரோ பாம்"
"King Kong Bomb","VAV-033","10 Pcs",900.00,90.00,,,"BOMBS","கிங் காங் பாம்"
"Classic Bomb","VAV-034","10 Pcs",1200.00,120.00,,,"BOMBS","கிளாசிக் பாம்"
"Dinosaur Bomb","VAV-035","10 Pcs",2200.00,220.00,,,"BOMBS","டைனோசர் பாம்"
"Digital Bomb","VAV-036","10 Pcs",2500.00,250.00,,,"BOMBS","டிஜிட்டல் பாம்"
"555 Bomb","VAV-037","10 Pcs",1600.00,160.00,,,"BOMBS","555 பாம்"
"1/4 Kg Paper Bomb","VAV-038","1 Pce",450.00,45.00,,,"BOMBS","1/4 கிலோ பேப்பர் பாம்"
"1/2 Kg Paper Bomb","VAV-039","1 Pce",900.00,90.00,,,"BOMBS","1/2 கிலோ பேப்பர் பாம்"
"1 Kg Paper Bomb","VAV-040","1 Pce",1800.00,180.00,,,"BOMBS","1 கிலோ பேப்பர் பாம்"
"Red Bijili","VAV-041","100 Pcs",330.00,33.00,,,"BIJILI CRACKERS","ரெட் பிஜிலி"
"Stripped Bijili","VAV-042","100 Pcs",350.00,35.00,,,"BIJILI CRACKERS","வரி"
"Butterfly","VAV-043","10 Pcs",900.00,90.00,,,"FOUNTAIN & VARIETIES","பட்டர்பிளை"
"Mega Siren","VAV-044","3 Pcs",1800.00,180.00,,,"FOUNTAIN & VARIETIES","சைரன்"
"Shower","VAV-045","5 Pcs",1200.00,120.00,,,"FOUNTAIN & VARIETIES","ஷவர்"
"Tri Colour Fountain","VAV-046","5 Pcs",2500.00,250.00,,,"FOUNTAIN & VARIETIES","டிரை கலர் பவுண்டைன்"
"Kit Kat/Chit Phut/TitTak","VAV-047","10 Pcs",400.00,40.00,,,"FOUNTAIN & VARIETIES","கிட் காட் / சிட் புட் / டிட்டாக்"
"Photo Flash","VAV-048","5 Pcs",700.00,70.00,,,"FOUNTAIN & VARIETIES","போட்டோ பிளாஸ்"
"Peacock","VAV-049","1 Pce",1600.00,160.00,,,"FOUNTAIN & VARIETIES","பீகாக்"
"Helicopter","VAV-050","5 Pcs",1000.00,100.00,,,"FOUNTAIN & VARIETIES","ஹெலிகாப்டர்"
"Drone","VAV-051","5 Pcs",1600.00,160.00,,,"FOUNTAIN & VARIETIES","ட்ரோன்"
"Tin Beer","VAV-052","1 Pce",1200.00,120.00,,,"FOUNTAIN & VARIETIES","டின் பீர்"
"Peacock Feather","VAV-053","5 Pcs",1000.00,100.00,,,"FOUNTAIN & VARIETIES","பிகாக் பேதர்"
"Golden Rain","VAV-054","5 Pcs",1000.00,100.00,,,"FOUNTAIN & VARIETIES","கோல்டன் ரெயின்"
"Crorepati / Jockpot","VAV-055","2 Pcs",2200.00,220.00,,,"FOUNTAIN & VARIETIES","க்ரோர்பதி /ஜாக்பாட"
"Rainbow Smoke","VAV-056","3 Pcs",1500.00,150.00,,,"FOUNTAIN & VARIETIES","ரெயின்போ ஸ்மோக்"
"Bambaram","VAV-057","10 Pcs",1200.00,120.00,,,"FOUNTAIN & VARIETIES","பம்பரம்"
"Black Money","VAV-058","5 Pcs",2200.00,220.00,,,"FOUNTAIN & VARIETIES","ப்ளாக் மணி"
"Lollipop (Stick)","VAV-059","5 Pcs",1700.00,170.00,,,"FOUNTAIN & VARIETIES","லாலி பாப்(ஸ்டிக்)"
"Pada Peacock","VAV-060","1 Pce",4000.00,400.00,,,"FOUNTAIN & VARIETIES","படா பீகாக்"
"90 Watts","VAV-061","3 Pcs",1200.00,120.00,,,"FOUNTAIN & VARIETIES","90 வாட்ஸ்"
"Chotta Fancy","VAV-062","1 Box",400.00,40.00,,,"FANCY CRACKERS","சோட்டா பேன்ஸி"
"2"" Pipe (5 Varieties)","VAV-063","1 Pce",1200.00,120.00,,,"FANCY CRACKERS","2"" பைப் (5 மாடல்)"
"2"" Pipe","VAV-064","3 Pcs",2800.00,280.00,,,"FANCY CRACKERS","2"" பைப் (3 பீஸ்)"
"3"" Pipe (6 Varieties)","VAV-065","1 Pce",2400.00,240.00,,,"FANCY CRACKERS","3"" பைப் (6 மாடல்)"
"3 1/2"" Pipe (5 Varieties)","VAV-066","1 Pce",3000.00,300.00,,,"FANCY CRACKERS","3 1/2"" பைப் (5 மாடல்)"
"4"" Pipe (5 Varieties)","VAV-067","1 Pce",3500.00,350.00,,,"FANCY CRACKERS","4"" பைப் (5 மாடல்)"
"4"" Pipe NayagraFalls (Spl)","VAV-068","1 Pce",4000.00,400.00,,,"FANCY CRACKERS","4"" பைப் நயாகரா அருவி"
"4"" 7 Steps","VAV-069","1 Pce",4300.00,430.00,,,"FANCY CRACKERS","4"" 7 ஸ்டெப்ஸ் (1 பீஸ்)"
"4"" 12 Steps","VAV-070","1 Pce",4800.00,480.00,,,"FANCY CRACKERS","4"" 12"
"4"" Pipe","VAV-071","2 Pcs",9000.00,900.00,,,"FANCY CRACKERS","4"""
"5"" Pipe Orange","VAV-072","1 Pc",5300.00,530.00,,,"FANCY CRACKERS","5"" பைப் ஆரஞ்சு (1 பீஸ்)"
"5"" Pipe Lemon","VAV-073","1 Pc",5300.00,530.00,,,"FANCY CRACKERS","5"" பைப் லெமன் (1 பீஸ்)"
"5"" Pipe Purble","VAV-074","1 Pc",5300.00,530.00,,,"FANCY CRACKERS","5"" பைப் பர்பிள் (1பீஸ்)"
"5"" Pipe","VAV-075","2 Pcs",10000.00,1000.00,,,"FANCY CRACKERS","5"" பைப் (2 பீஸ்)"
"Cool Baby Cool","VAV-076","5 Pcs",2000.00,200.00,,,"FANCY CRACKERS","கூல் பேபி கூல்"
"7 Shots Multicolour","VAV-077","5 Pcs",1100.00,110.00,,,"FANCY CRACKERS","7 ஷாட் மல்டி கலர்"
"12 Shots Rider / Crackling","VAV-078","1 Box",1400.00,140.00,,,"FANCY CRACKERS","12 ஷாட் ரைடர் / கிராக்லிங்"
"25 Shots Rider / Crackling","VAV-079","1 Box",2500.00,250.00,,,"FANCY CRACKERS","25 ஷாட் ரைடர் / கிராக்லிங்"
"30 Shots Multicolour","VAV-080","1 Box",3500.00,350.00,,,"SILVER","30 ஷாட் மல்டி கலர்"
"60 Shots Multicolour","VAV-081","1 Box",7000.00,700.00,,,"SILVER","60 ஷாட் மல்டி கலர்"
"120 Shots Multicolour","VAV-082","1 Box",14000.00,1400.00,,,"SILVER","120 ஷாட் மல்டி கலர்"
"30 Shots Multicolour","VAV-083","1 Box",4000.00,400.00,,,"GOLD","30 ஷாட் மல்டி கலர்"
"60 Shots Multicolour","VAV-084","1 Box",8000.00,800.00,,,"GOLD","60 ஷாட் மல்டி கலர்"
"120 Shots Multicolour","VAV-085","1 Box",16000.00,1600.00,,,"GOLD","120 ஷாட் மல்டி கலர்"
"240 Shots Multicolour","VAV-086","1 Box",32000.00,3200.00,,,"GOLD","240 ஷாட் மல்டி கலர்"
"Money Penny (Standard FW)","VAV-087","5 Pcs",3550.00,355.00,,,"WOW COLLECTION","மணி பென்னி"
"Sun Drops (Standard FW)","VAV-088","5 Pcs",3550.00,355.00,,,"WOW COLLECTION","சன் ட்ராப்ஸ்"
"Twin Spin (Standard FW)","VAV-089","5 Pcs",1550.00,155.00,,,"WOW COLLECTION","ட்வின் ஸ்பின்"
"Scarlet Saucer (Standard FW)","VAV-090","5 Pcs",1550.00,155.00,,,"WOW COLLECTION","ஸ்கேர்லட் சாஸர்"
"Red & White Chakkar's (Standard FW)","VAV-091","10 Pcs",880.00,88.00,,,"WOW COLLECTION","&"
"Colour Burst (Standard FW)","VAV-092","10 Pcs",2440.00,244.00,,,"WOW COLLECTION","கலர் பர்ஸ்ட்"
"Whistling Dixie (Vadivel FW)","VAV-093","5 Pcs",1200.00,120.00,,,"WOW COLLECTION","விசிலிங் டிக்ஸி"
"Ring Ring (Vadivel FW)","VAV-094","5 Pcs",2000.00,200.00,,,"WOW COLLECTION","ரிங்ரிங்"
"Bad Boy (Vadivel FW)","VAV-095","3 Pcs",3300.00,330.00,,,"WOW COLLECTION","பேட் பாய்"
"Autumn Rain (Vadivel FW)","VAV-096","1 Pce",1400.00,140.00,,,"WOW COLLECTION","ஆட்டம் ரெயின்"
"Winter Rain (Vadivel FW)","VAV-097","1 Pce",1400.00,140.00,,,"WOW COLLECTION","வின்டர் ரெயின்"
"Scooby-Doo (Vadivel FW)","VAV-098","5 Pcs",1600.00,160.00,,,"WOW COLLECTION","ஸ்கூபிடு"
"Dexter (Vadivel FW)","VAV-099","5 Pcs",1600.00,160.00,,,"WOW COLLECTION","டெக்ஸ்டர்"
"Popeye (Vadivel FW)","VAV-100","5 Pcs",1600.00,160.00,,,"WOW COLLECTION","பாப்பாயி"
"Power Puff Girls (Vadivel FW)","VAV-101","5 Pcs",1600.00,160.00,,,"WOW COLLECTION","பவர் பப்ஃ கேள்ஸ்"
"Recycle (Vadivel FW)","VAV-102","5 Pcs",2000.00,200.00,,,"WOW COLLECTION","ரீசைகிள்"
"Fire Egg (Vadivel FW)","VAV-103","2 Pcs",1800.00,180.00,,,"WOW COLLECTION","பையர் எக்"
"Rangoon (Ajantha FW)","VAV-104","2 Pcs",2500.00,250.00,,,"WOW COLLECTION","ரங்கூன்"
"Magical Sword (Ajantha FW)","VAV-105","2 Pcs",3200.00,320.00,,,"WOW COLLECTION","மெஜிக்கல் ஸ்வார்டு"
"Galaxy sword (Ajantha FW)","VAV-106","2 Pcs",3200.00,320.00,,,"WOW COLLECTION","கேலக்ஸி ஸ்வார்டு"
"Mitico (Ajantha FW)","VAV-107","2 Pcs",2200.00,220.00,,,"WOW COLLECTION","மிடிகோ"
"Tropical Mushroom (Ajantha FW)","VAV-108","1 Pc",2500.00,250.00,,,"WOW COLLECTION",""
"Smiling Elephant (Ajantha FW)","VAV-109","1 Pc",3350.00,335.00,,,"WOW COLLECTION","ஸ்மைலிங் எலிபேன்ட்"
"Lucky Lion (Ajantha FW)","VAV-110","1 Pc",3350.00,335.00,,,"WOW COLLECTION","லக்கி லையன்"
"Lemon Tree (Ayyan FW)","VAV-111","1 Pce",1450.00,145.00,,,"WOW COLLECTION","லெமன் ட்ரீ"
"Cocktail (Ayyan FW)","VAV-112","10 Pcs",650.00,65.00,,,"WOW COLLECTION","காக் டெய்ல்"
"Jadugar (Ayyan FW)","VAV-113","5 Pcs",3350.00,335.00,,,"WOW COLLECTION","ஊடுகர்"
"ManoRajan (Ayyan FW)","VAV-114","5 Pcs",3350.00,335.00,,,"WOW COLLECTION","மனோராஜன்"
"Dix Pots","VAV-115","5 Pcs",2500.00,250.00,,,"WOW COLLECTION","டிக்ஸ் பாட்"
"Kit Kat (Red)","VAV-116","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","じゅじ"
"Tic Tac Mint","VAV-117","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","டிக் டாக் மின்ட"
"Milky Bar White","VAV-118","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","மில்கி பார் வெயிட்"
"5 Star Gold","VAV-119","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","5 ஸ்டார் கோல்டு"
"Dairy Milk","VAV-120","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","டைரி மில்க்"
"Germs Colour Mix","VAV-121","5 Pcs",1750.00,175.00,,,"WOW COLLECTION","ஜெம்ஸ் கலர் மிக்ஸ்"
"Karaoke Night","VAV-122","1 Pc",1450.00,165.00,,,"WOW COLLECTION","கரோக்கி நைட்"
"Jazz Music","VAV-123","1 Pc",1650.00,165.00,,,"WOW COLLECTION","ஜாஸ் மியூசிக்"
"Dr.Pepper","VAV-124","1 Pc",1650.00,165.00,,,"WOW COLLECTION","டாக்டர் பெப்பர்"
"Big Bang","VAV-125","1 Pc",1650.00,165.00,,,"WOW COLLECTION","பிக் பாக்ங்"
"Red Apple","VAV-126","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","ரெட் ஆப்பிள்"
"Carnival Fun Fait","VAV-127","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","கார்னிவல் ஃபன் பைத்"
"Mr.Big","VAV-128","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","மிஸ்டர் பிக்"
"Tooty Frootiy","VAV-129","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","டூட்டி ஃப்ரூட்டி"
"Bingo Music","VAV-130","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","பிங்கோ மியூசிக்"
"Party Time","VAV-131","5 Pcs",1700.00,170.00,,,"WOW COLLECTION","பார்டி டைம்"
"Kulfi","VAV-132","3 Pcs",2450.00,245.00,,,"WOW COLLECTION","குல்பி"
"Hot Cone","VAV-133","2 Pcs",2200.00,220.00,,,"WOW COLLECTION","ஹாட் கோன்"
"King Version","VAV-134","1 Pc",2200.00,220.00,,,"WOW COLLECTION","கிங் வேர்ஷன்"
"Cylinder Smoke","VAV-135","2 Pcs",2555.00,256.00,,,"WOW COLLECTION","சிலிண்டர் ஸ்மோக்"
"7 Cm Electric Sparklers","VAV-136","1 Box",90.00,9.00,,,"SPARKLERS","7 செ.மீ எலக்ட்ரிக் கம்பி"
"7 Cm Colour Sparklers","VAV-137","1 Box",110.00,11.00,,,"SPARKLERS","7 செ.மீ கலர் கம்பி"
"7 Cm Green Sparklers","VAV-138","1 Box",130.00,13.00,,,"SPARKLERS","7 செ.மீ பச்சை கம்பி"
"10 Cm Electric Sparklers","VAV-139","1 Box",180.00,18.00,,,"SPARKLERS","10 செ.மீ எலக்ட்ரிக் கம்பி"
"10 Cm Colour Sparklers","VAV-140","1 Box",210.00,21.00,,,"SPARKLERS","10 செ.மீ கலர் கம்பி"
"10 Cm Green Sparklers","VAV-141","1 Box",240.00,24.00,,,"SPARKLERS","10 செ.மீ பச்சை கம்பி"
"12 Cm Electric Sparklers","VAV-142","1 Box",270.00,27.00,,,"SPARKLERS","12 செ.மீ எலக்ட்ரிக் கம்பி"
"12 Cm Colour Sparklers","VAV-143","1 Box",300.00,30.00,,,"SPARKLERS","12 செ.மீ கலர் கம்பி"
"12 Cm Green Sparklers","VAV-144","1 Box",340.00,34.00,,,"SPARKLERS","12 செ.மீ பச்சை கம்பி"
"15 Cm Electric Sparklers","VAV-145","1 Box",430.00,43.00,,,"SPARKLERS","15 செ.மீ எலக்ட்ரிக் கம்பி"
"15 Cm Colour Sparklers","VAV-146","1 Box",450.00,45.00,,,"SPARKLERS","15 செ.மீ கலர் கம்பி"
"15 Cm Green Sparklers","VAV-147","1 Box",470.00,47.00,,,"SPARKLERS","15 செ.மீ பச்சை கம்பி"
"30 Cm Electric Sparklers","VAV-148","1 Box",430.00,43.00,,,"SPARKLERS","30 செ.மீ எலக்ட்ரிக் கம்பி"
"30 Cm Colour Sparklers","VAV-149","1 Box",450.00,45.00,,,"SPARKLERS","30 செ.மீ கலர் கம்பி"
"30 Cm Green Sparklers","VAV-150","1 Box",470.00,47.00,,,"SPARKLERS","30 செ.மீ பச்சை கம்பி"
"50 Cm Electric Sparklers","VAV-151","1 Box",1600.00,160.00,,,"SPARKLERS","50 செ.மீ எலக்ட்ரிக் கம்பி"
"50 Cm Colour Sparklers","VAV-152","1 Box",1800.00,180.00,,,"SPARKLERS","50 செ.மீ கலர் கம்பி"
"Rotating Umbrella Sparklers","VAV-153","1 Box",2000.00,200.00,,,"SPARKLERS","ரோடேடிங் அம்ப்ரல்லா கம்பி"
"Colour Matches","VAV-154","1 Box",1500.00,150.00,,,"COLOUR MATCHES","கலர் மேட்சஸ்"
"Colour Matches (Deluxe)","VAV-155","1 Box",2000.00,200.00,,,"COLOUR MATCHES","கலர் மேட்சஸ் (டீலக்ஸ்)"
"Colour Matches 10 In 1(Big)","VAV-156","1 Box",2500.00,250.00,,,"COLOUR MATCHES","கலர் மேட்சஸ் 10 இன் 1"
"Hunter Gun(with) Ring Caps","VAV-157","1 Box",1500.00,150.00,,,"COLOUR MATCHES","ஹன்டர் கன் வித் ரிங் கேப்ஸ்"
"Snake Serpent (Big)","VAV-158","1 Box",1000.00,100.00,,,"COLOUR MATCHES","பாம்பு மாத்திரை (பெரியது)"
"Electric Stone/Magic Pops","VAV-159","1 Box",100.00,10.00,,,"COLOUR MATCHES","எலக்ட்ரிக் ஸ்டோன்/மேஜிக் பாப்ஸ்"
"Cartoon","VAV-160","25 Pcs",700.00,70.00,,,"COLOUR MATCHES","கார்டூன்"
"Darling Pack 20 Items","VAV-161","1 Box",330.00,330.00,,,"GIFT BOXES","டார்லிங் கிப்ட் 20 Items"
"Family Pack 25 Items","VAV-162","1 Box",400.00,400.00,,,"GIFT BOXES","பேமிலி கிப்ட் 25 items"
"Golden Pack 30 Items","VAV-163","1 Box",450.00,450.00,,,"GIFT BOXES","கோல்டன் கிப்ட் 30 Items"
"V.I.P. Pack 35 Items","VAV-164","1 Box",530.00,530.00,,,"GIFT BOXES","வி.ஐ.பி. கிப்ட் 35 Items"
"Premium Pack 42 Items","VAV-165","1 Box",830.00,830.00,,,"GIFT BOXES","பிரீமியம் கிப்ட் 42 Items"
"Diwali Special Pack 50 Items","VAV-166","1 Box",1000.00,1000.00,,,"GIFT BOXES","தீபாவளி ஸ்பெஷல் கிப்ட் 50 Items"
